capital,num_workers,productivity,price,inventory,budget,mean_historic_sales,std_historic_sales,avg_wage,avg_capital_price,avg_consumption_good_price,market_demand,actual_demand,sales,firm_id
20.0,1.0,1.0,0.6302494097246091,10.080077529636972,6.592140156046845,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.5987369392383786,10.375673246014369,5.2665884378707375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.5688000922764596,10.61510577628006,3.974483759788178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.5403600876626365,10.809046125795271,2.721721210604906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.5133420832795047,10.966137808902593,-0.4878431704204268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.48767497911552943,11.104436124454566,-1.6524873571537704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.46329123015975293,11.216457760051664,-2.771410313071997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.44012666865176525,11.307195284885312,-3.8440143191666456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.41812033521917696,11.380692680000566,-4.870396253796272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.3972143184582181,11.440225570043921,-5.8511596468365745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.37735360253530714,11.488447210979041,-6.787271447406752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.35848592240854177,11.527506740136488,-7.679953129089885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.34056162628811465,11.559144958754018,-8.530598151732216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.3235335449737089,11.584771915834219,-9.340709641813294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.30735686772502346,11.605529751069183,-10.111853571330599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2919890243387723,11.6223435976095,-10.845623806099082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.27738957312183365,11.635962813307161,-11.543616233708104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.263520094465742,11.646994378022264,-12.207409827110183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.25034408974245487,11.655929945441496,-12.838552996572174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2378268852553321,11.663167755051077,-13.438553964845314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2259355409925655,11.669030380834839,-14.008874194335025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2146387639429372,11.673779107719682,-14.550924121110713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.20390682574579033,11.677625576496405,-15.06606062443879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.1937114844585008,11.680741216205552,-15.555585794190222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.18402591023557577,11.683264884369962,-16.0207466612324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.17482461472379698,11.685309055583133,-16.46273563489389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.16608338398760714,11.686964834265801,-16.882691452275306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.15777921478822676,11.688306014998762,-17.281700490791767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.14989025404881542,11.689392371392463,-19.66079833111957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.14239574134637464,11.690272320071358,-20.02097148518173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
